Tabela/View;Português do Brasil (Nativo);Espanhol
E690PNR;Tributos - REINF - Pessoa Jurídica - Informações de processos relacionados a não retenção de tributos ou depósitos judiciais;Tributos - REINF* - Persona Jurídica - Informaciones de procesos relacionados a no retención de tributos o depósitos judiciales
E690PPF;Tributos - REINF - Pessoa Física - Informações de processos relacionados a não retenção de tributos ou depósitos judiciais;Tributos - REINF* - Persona Física - Informaciones de procesos relacionados a la no retención de tributos o depósitos judiciales
E690PPJ;Tributos - REINF - Pessoa Jurídica - Informações complementares relativas a rendimentos decorrentes de decisão judicial;Tributos - REINF* - Persona Jurídica - Informaciones complementares relativas a rendimientos decurrentes de decisión judicial
E690PPR;Tributos - REINF - Informações de Processos;Impuestos - REINF* - Informaciones de Procesos
E690RDE;Tributos - REINF - Pessoa Fisica - Reembolso do dependente do plano de saúde coletivo empresarial;Tributos - REINF* - Persona Física - Reembolso del dependiente del plan de salud colectivo empresarial
E690RED;Tributos - REINF - Entidade promotora do espetáculo desportivo;Tributos - REINF* - Entidad promotora del espectáculo deportivo
E690REP;Tributos - REINF - Receitas Repassadas para Associação Desportiva - Processos;Tributos - REINF*- Ingresos Repasados para Asociación Deportiva - Procesos
E690RIG;Tributos - REINF - Receita de Venda de Ingressos;Tributos - REINF* - Ingreso de Venta de Ingresos
E690RIN;Tributos - REINF - Pessoa Física - Rendimentos isentos e não tributáveis;Tributos - REINF* - Persona Física - Rendimientos exentos y no tributables
E690RNP;Tributos - REINF - Retenção do Recebimento - Processos;Impuestos - REINF - Retención de Recibo - Trámites
E690RNR;Tributos - REINF - Retenção no Recebimento;Impuestos - REINF - Retención al Recibo
E690RPF;Tributos - REINF - Retenções na Fonte - Pessoa Física;Tributos - REINF* - Retenciones en la Fuente - Persona Física
E690RPJ;Tributos - REINF - Retenções na Fonte - Pessoa Jurídica;Tributos - REINF* - Retenciones en la Fuente - Persona Jurídica
E690RRA;Tributos - REINF - Pessoa Física - Informações complementares relativas a rendimentos redimentos recebidos acumuladamente - RRA;Tributos - REINF* - Persona Física - Informaciones complementares relativas a rendimientos  acumuladamente - RRA*
E690RRP;Tributos - REINF - Receitas Recebidas por Associação Desportiva - Processos;Tributos - REINF* - Ingresos Recibidos por Asociación Deportiva - Procesos
E700CBN;Ficha - Modelo - Combinações de Componentes;Ficha - Modelo - Combinaciones de Componentes
E700CMM;Ficha - Modelo - Componentes;Ficha - Modelo - Componentes
E700COC;Ficha - Modelo - Coordenadas do Componente;Ficha - Modelo - Coordenadas del Componente
E700CTM;Ficha - Modelo - Consumo Componente por Derivação;Ficha - Modelo - Consumo Componente por Derivación
E700DMO;Ficha - Modelo - Derivações Possíveis;Formulario - Modelo - Derivaciones posibles 
E700IBN;Ficha - Modelo - Itens Combinações de Componentes;Ficha - Modelo - Ítems Combinaciones de Componentes
E700ITR;Ficha - Modelo - Tabela de relacionamento entre derivações - Itens;Ficha - Modelo - Tabla de relación entre derivaciones - Ítems
E700LMP;Ficha - Modelo - Liga Modelo X Produto;Formulario - Modelo - Relaciona Modelo X Producto  
E700MOD;Ficha - Modelo - Dados Gerais;Ficha - Modelo - Datos Generales
E700NSR;Ficha - Modelo - Narrativa por Seq. Componente;Ficha - Modelo - Narrativa por Sec. Componente
E700PCE;Ficha - Modelo - Componentes Exclusivos para Fabricar Pedido/Item;Ficha - Modelo - Componentes Exclusivos para Fabricar Pedido/Ítem
E700TAR;Ficha - Modelo - Tabela de relacionamento entre derivações;Ficha - Modelo - Tabla de relación entre derivaciones
E700VCC;Ficha - Modelo - Versões Consumos;Formulario - Modelo - Versiones Consumos 
E700VCM;Ficha - Modelo - Versões Componentes;Ficha - Modelo - Versiones Componentes
E700VMO;Ficha - Modelo - Versões Modelo;Ficha - Modelo - Versiones Modelo
E705SVA;Ficha - Modelo - Variações Consumo - Seqüências;Ficha - Modelo - Variaciones Consumo - Secuencias
E705VAC;Ficha - Modelo - Variações Consumo de Componentes por Derivação;Ficha - Modelo - Variaciones Consumo de Componentes por Derivación
E710APL;Ficha - Roteiro - Aplicações de Componentes na Seqüência Operacional;Ficha - Itinerario - Aplicaciones de Componentes en la Secuencia Operacional
E710CTP;Ficha - Roteiro - Cálculo de Tempo da Seqüência Operacional;Ficha - Itinerario - Cálculo de Tiempo de la Secuencia Operacional
E710ETR;Ficha - Roteiro - Estágios;Formulario - Itinerario - Etapas 
E710IMG;Ficha - Roteiro - Imagem para Seqüência Operacional;Ficha - Itinerario - Imagen para Secuencia Operacional
E710LRP;Ficha - Roteiro - Liga Roteiro X Produto;Ficha - Itinerario - Relaciona Itinerario X Producto  
E710NSR;Ficha - Roteiro - Narrativa da Seqüência Operacional;Ficha - Itinerario - Narrativa de la Secuencia Operacional
E710PCR;Ficha - Roteiro - Seqüência Operações Exclusivas para fabricar Pedido/Item;Ficha - Itinerario - Secuencia Operaciones Exclusivas para fabricar Pedido/Ítem
E710ROT;Ficha - Roteiro - Dados Gerais;Ficha - Itinerario - Datos Generales
E710SQA;Ficha - Roteiro - Acessório para Seqüência Operacional;Ficha - Itinerario - Accesorio para Secuencia Operacional
E710SQR;Ficha - Roteiro - Seqüência Operacional;Ficha - Itinerario - Secuencia Operacional
E710SRF;Ficha - Ligação Seq. Roteiro com Ferramentas;Ficha - Conexión Sec. Itinerario con Herramientas
E710VCR;Ficha - Roteiro - Versões Seqüências Operações;Ficha - Itinerario - Versiones Secuencias Operacionales
E710VCT;Ficha - Roteiro - Versões Estágios;Ficha - Itinerario - Versiones Etapas
E710VRO;Ficha - Roteiro - Versões Roteiro;Ficha - Itinerario - Versiones Itinerario
E720FOT;Ficha - Roteiro - Fotos (Imagem) Detalhes Técnicos;Ficha - Itinerario - Fotos (Imagen) Detalles Técnicos
E720LOF;Ficha - Ligação Operações X Família Ferramentas;Ficha - Conexión Operaciones X Familia Herramientas
E720NOF;Ficha - Roteiro - Narrativas p/ Operações (Instruções);Ficha - Itinerario - Narrativas para Operaciones ( Instrucciones)
E720OAC;Ficha - Roteiro - Cadastro de Acessórios da Operação;Ficha - Itinerario - Maestro de Accesorios de la Operación
E720OPR;Ficha - Roteiro - Cadastro de Operações de Fabricação;Ficha - Itinerario - Maestro de Operaciones de Fabricación
E720SNO;Ficha - Roteiro - Seqüência de Narrativas p/ Operações (Instruções);Ficha - Itinerario - Secuencia de Narrativas para Operaciones (Instrucciones)
E720VCO;Ficha - Roteiro - Versões Operações Fabricação;Ficha - Itinerario - Versiones Operaciones Fabricación
E725CRE;Ficha - Roteiro - Cadastro Centro de Recursos;Ficha - Itinerario - Maestro Centro de Recursos
E725CRS;Ficha - Roteiro - Cadastro Centro de Recursos Substitutos;Ficha - Itinerario - Maestro Centro de Recursos Sustitutos
E727ACS;Ficha - Roteiro - Cadastro de Acessórios p/ Operação;Ficha - Itinerario - Maestro de Accesorios para Operación
E802CIN;PCP - Calendário Industrial;Planeamiento y Control de la Producción - Calendario Industrial
E803HTR;PCP - Horários do Turno de Trabalho;P.C.P. - Horarios del Turno de Trabajo
E803TRB;PCP - Dados do Turno de Trabalho;P.C.P. - Datos del Turno de Trabajo
E810DRP;PCP - Dados do C. de Recursos p/ Cálculo Carga;P.C.P. - Datos del C. de Recursos para Cálculo Carga
E811PTU;PCP - Carga - Produto Tempo Utilizado p/ Recurso;P.C.P. - Carga - Producto Tiempo Utilizado para Recurso
E812RSU;PCP - Carga - Recursos Utilizados Como Substitutos;P.C.P. - Carga - Recursos Utilizados Como Sustitutos
E812RUP;PCP - Carga - Recursos Utilizados no Período;P.C.P. - Carga - Recursos Utilizados en el Periodo
E814DLS;PCP - Quantidades Entrada, Vencimento, Lote, Série;P.C.P. - Cantidades Entradas, Vencimiento, Lotes, Series
E814NBC;PCP - Necessidades Compras p/ Produção;P.C.P. - Necesidades Compras para Producción
E815DLS;PCP - Quantidades Entrada, Vencimento, Lote, Série;P.C.P. - Cantidades Entradas, Vencimiento, Lotes, Series
E815NBP;PCP - Necessidades Produtos;P.C.P. - Necesidades Productos
E825LCP;PCP - Layout Células de Produção;PCP - Layout Células de Producción 
E900APT;Apontamentos originados da plataforma Senior X;Apuntamientos originados de la plataforma Senior X
E900CCB;O.P./O.S. - Contagem das quantidades da O.P./O.S. via código de barras;Orden de Producción - Recuento de las cantidades de la Orden de Producción vía código de barras
E900CMI;O.P./O.S. - Componentes Utilizados Individualmente (Rastreabilidade Lote/Série);O.P./O.S. - Componentes Utilizados Individualmente (Rastreo Lote/Serie)
E900CMO;O.P./O.S. - Componentes Utilizados;O.P. - Componentes Utilizados
E900CMR;O.P./O.S. - Agrupamento Componentes Utilizados Individualmente (Rastreabilidade Lote/Série);O.P./O.S. - Agrupamiento Componentes Utilizados Individualmente (Rastreo Lote/Serie)
E900COP;OP/OS - Cabeçalho (Dados Gerais);OP/OS - Encabezado (Datos Generales)
E900CPB;O.P./O.S. - Componentes Pendentes p/ Baixar (O.Ps./O.Ss./Produtos Precisam Ser Explodidos);O.P. - Componentes Pendientes para Bajar (O.P. sin Productos Necesitan ser Explorados)
E900CPR;O.P./O.S. - Controle processos de remessa para terceiros via WS;OP/OS - Controlar procesos de envío a terceros vía WS
E900DLS;O.P./O.S. - Quantidades Entrada, Vencimento, Lote, Série;O.P. - Cantidades Entrada, Vencimiento, Lote, Serie
E900DOP;O.P./O.S. - Defeitos de fabricação p/ Estágios;O.P./O.S. - Defectos de fabricación p/ Etapas 
E900ECO;O.P./O.S. - Apontamento Especificações Conformidade p/ Produto;O.P. - Apuntamiento Especificaciones Conformidad para Producto
E900EOF;O.P./O.S. - Movimentação Ferramentas/Equipamentos utilizados no apontamento;O.P./O.S. - Movimiento Herramientas/Equipos utilizados en el apunte
E900EOO;O.P./O.S. - Movimentação OP/OS para o Painel OEE;O.P./O.S. - Movimiento OP/OS para el Panel OEE
E900EOP;OP/OS - Estágios de produção;OP/OS - Pasantías de producción
E900EOQ;O.P./O.S. - Movimentação OP/OS;O.P./O.S. - Movimientos OP/OS
E900ETQ;Etiquetas originadas da plataforma Senior X;Etiquetas originadas de la plataforma Senior X
E900GOP;O.P./O.S. - Guias O.P. p/ Derivação;O.P./O.S. - Guías O.P. p/ Derivación 
